ZNA,DLN
GZB,SBB
GUNA,RTA
GNG,AME
GIMB,BCOB
GGJ,ABP
FTP,ALD
ERN,ERS
DTO,BRWD
DMN,PLO
DGR,PAN
DDN,HW
CDM,SY
BWT,KPN
BVI,ADH
BTTR,NLR
BTTR,KVZ
BSB,BOY
BPP,NDO
BH,AKV
BD,MZR
BCOB,SIOB
BCOB,GIMB
BAM,IPM
BAB,JHS
AY,GGJ
AWR,KRH
ANGL,BONA
ALJN,HRS
ALD,FTP
AKVD,BVRT
AH,BTE
AD,MALM
ADI,MAN
YLM,AKP
WR,PLO
WKI,OTP
VZM,VBL
VDS,MDP
TPTY,PAK
TORI,LTHR
THB,NNA
TDO,DZA
SRR,PTB
SNT,AMP
SGO,KYE
SFY,MKC
SCM,VSKP
RU,KHT
RNC,HTE
R,MSMD
PVPT,RGDA
PTB,SRR
PTB,KTU
PNME,HZD
PLO,DMN
PAR,MTY
PAN,DGR
PAK,TPTY
NU,KY
NRKR,PAR
MSMD,R
MKC,SFY
MDP,VDS
MAU,IAA
MAS,SPE
MAHE,TLY
MAHE,BDJ
KYJ,HAD
KYE,BINA
KTU,PTB
KRH,AWR
KOAA,NH
KNE,AUB
KJH,AHA
KIUL,BJU
KGP,PKU
KEI,MGS
KCVL,QLN
KATL,NGP
JUDW,JUD
JMT,CRJ
JHS,BAB
HZD,PNME
HTE,RNC
HPU,AMRO
HAD,AMPA
GTL,BAY
GPB,BGM
DRD,VAPI
DLN,BXR
DBG,LSI
BYNR,KUDA
BVRT,AKVD
BVI,DDR
BTE,BXN
BONA,RAIR
BGM,GPB
AUB,KNE
AMRO,HPU
AMPA,ALLP
AMB,MNGD
AKVD,KKLR
AKP,YLM
AHA,KJH
ADH,BDTS
ABP,GGJ
